# Media Audit Report

Generated at: 2026-03-12T10:43:53.221494+00:00

Read-only audit scope:
- SELECT queries only against Postgres.
- HTTP HEAD and GET probes only against Supabase Storage.
- No DB writes, no storage writes, no signed-url POSTs.

## SUMMARY

- total media objects: 834
- total media assets: 140
- total lesson media rows: 819
- total storage objects: 780
- missing files: 321 unique objects / 545 DB rows
- mime mismatches: 0
- 0 byte files: 0
- tiny files (<100 bytes): 39
- missing byte_size rows: 3
- invalid buckets: 0
- unsupported formats: 2
- orphaned files (storage without DB): 11
- DB references missing in storage: 545
- orphaned storage GB: 0.489
- DB-missing storage GB: 2.434
- total GB of garbage: 2.923
- orphaned vs valid storage: 1.41% orphaned / 98.59% referenced
- not-ready media_assets: 23

## WHY FILES APPEAR "UNSUPPORTED"

- image/webp is not in the supported playback set (2)
- Private buckets are validated with authenticated HEAD/GET requests. Signed URL POST generation was intentionally avoided to preserve read-only semantics.
- lesson_media.media_asset_id being null is often a legacy/object-backed row, not automatically a corruption case. (727)

## RELATION DIAGNOSTICS

- missing media_asset relations: 0
- missing media_object relations: 0
- lesson_media.media_asset_id null: 727
- missing course cover relations: 0
- unresolvable lesson_media rows: 0

## BROKEN MEDIA

| media_id | storage_path | bucket | reason | source_table |
| 1658fc01-1dcf-4b56-8338-be58de397f31 | aba4e76c-2a2b-4a11-a840-5ecee670ce0f/757a1af9-37da-4236-8e20-4b28969f0f12/image/76e9cd890d4f40c29b10e5b223a06e19.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 21eb07a9-2911-47d3-86eb-17877966da6d | d801d509-c2bd-4dd7-a37b-373a0d88ceb6/df98683d-deb1-4a6f-893f-3868e14cad1e/image/215dc91dd45c4dad94a11aaf6cdea056.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 57608f46-c684-4985-b4fb-f9cbcf37e4d3 | d801d509-c2bd-4dd7-a37b-373a0d88ceb6/030bfb56-5d44-49a5-933f-09552f16fd76/image/d08bcb63767e48189efce6b6b4fbed99.png | public-media | DB reference missing in storage.objects | app.media_objects |
| fc121bba-15f3-4d23-a946-398d0947f443 | d801d509-c2bd-4dd7-a37b-373a0d88ceb6/0e667260-d078-41bb-baf6-4dbeb4a339c6/image/8595cad09b944e3ba16a5606b4e62066.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 6686ab44-5935-4ba5-9a3f-a62f27013abe | 31b70b33-9ce6-4595-8491-a1f99719fed1/4bf61669-fe1c-4aa5-b089-7638f0362839/image/7a7ce44dc923477bbec916ae156b2142.png | public-media | DB reference missing in storage.objects | app.media_objects |
| b91f3ef2-9675-4c7d-8118-b96db76b38dc | 31b70b33-9ce6-4595-8491-a1f99719fed1/f9be5b42-861e-46bc-a0cb-1401fc586fd5/image/3d7ecd62bcae4929a08f1a375258d4e4.png | public-media | DB reference missing in storage.objects | app.media_objects |
| cac6e671-469d-441a-9984-dde74abb137a | c698122c-da57-41ef-85f2-3d78cd4dce6d/caa47f60-bca0-43aa-b068-cc235bd7b18e/image/e806673fe45c414ca2e656427d2e53b9.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 3939bd47-8f36-41be-b820-1f29636b956a | c55dcdd1-858f-4067-8865-fece7cd18fe2/00478dec-c8e7-4f41-9a1e-e116a4920708/image/deac40b1c15444f5a4a867ade0d56131.png | public-media | DB reference missing in storage.objects | app.media_objects |
| d786dfc9-c3ec-4c77-bb19-e863a2af3e8f | c55dcdd1-858f-4067-8865-fece7cd18fe2/1ae64457-109e-4586-9330-ac1b4b0cd1f8/image/551f2b66a8454a468d5efad9235397f9.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 105c7c0b-6464-400d-9146-6b8a204088aa | be6de80a-36ef-44f6-a92b-c5255b89d24e/4a23ef8f-5877-4285-b97a-f0ee8a44e9f1/image/184698aeb2e24084872dfb65f44cd590.png | public-media | DB reference missing in storage.objects | app.media_objects |
| a73fe040-fa06-409f-903a-f0cec954821f | be6de80a-36ef-44f6-a92b-c5255b89d24e/935c92c0-761b-4de8-aa31-83688422483c/image/f46f4591f50c47e38d9edf90af706851.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 00979570-2e1b-413e-9eea-b6be0259f4fa | be6de80a-36ef-44f6-a92b-c5255b89d24e/f63e46c4-37a7-4943-9712-bf08aac3fdbe/image/e28cc699300846d7a20109bd08a92879.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 6cb37c54-e6d6-4890-b0c2-b1ab18ff6ee5 | be6de80a-36ef-44f6-a92b-c5255b89d24e/4e185aa6-6749-45f8-9e12-4b50f8db1e75/image/7cf10f14d0524c588fcd7e9620136099.png | public-media | DB reference missing in storage.objects | app.media_objects |
| c0f0c5cb-fd73-4d09-b357-5f074c1d701d | be6de80a-36ef-44f6-a92b-c5255b89d24e/caa4a7af-611d-4cd4-8aef-06f57ed86fa0/image/325ecd45ee8242a4964f7d17fc949b32.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 278974e3-adea-4531-a73a-4e13932c8ca7 | be6de80a-36ef-44f6-a92b-c5255b89d24e/d6149cde-abbf-4768-a8a1-4bd8fe685af2/image/2989c2ec09a34c8f923119df090d65d6.png | public-media | DB reference missing in storage.objects | app.media_objects |
| f5cc9a01-e0af-4e9a-ac2b-dc383e3baf1a | be6de80a-36ef-44f6-a92b-c5255b89d24e/d6149cde-abbf-4768-a8a1-4bd8fe685af2/image/bf60ff61471e4a25a011723588e9f203.png | public-media | DB reference missing in storage.objects | app.media_objects |
| c04520da-5937-4465-bce9-d93191021f11 | 2083bc27-316e-4119-8916-5f22727955f9/6afb2d27-4ac1-4c40-9967-4f0f62884ef6/image/6ecaa92eb2474d9fa682d17a272910c1.png | public-media | DB reference missing in storage.objects | app.media_objects |
| fa1da95f-eee1-4198-8755-d6948c81ee66 | 2083bc27-316e-4119-8916-5f22727955f9/d691d3dc-7d08-4f05-a8a9-784497a4fd6c/image/624fb8abb570461c95583ba7248079d8.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 0cdc703d-ca78-4bce-8643-58a337afb49d | 2083bc27-316e-4119-8916-5f22727955f9/3a6a7ac9-4711-49b0-bd86-ceeb7921fb8d/image/5eff19ad837845af985b42f072a58aac.png | public-media | DB reference missing in storage.objects | app.media_objects |
| a6a67dc7-a47d-49c2-9f63-25cc79052bc0 | c55dcdd1-858f-4067-8865-fece7cd18fe2/4512488e-3fcd-4a83-b94d-84d05806b43f/audio/6e8645a9981b49ae995550e9687fb3bf.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 0696b228-cbe9-49b4-afa3-886fac7777a7 | 2083bc27-316e-4119-8916-5f22727955f9/6afb2d27-4ac1-4c40-9967-4f0f62884ef6/audio/d69dcf533d514efcaa7a4a8fcc1bafb2.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| b5a3c295-5f5a-4d3d-8a80-3cbf1d51a368 | 2083bc27-316e-4119-8916-5f22727955f9/c009d3cb-2148-48ee-ae26-b119fda8fa79/audio/1cdb5725e2bd4af8bd89d799d92699e3.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 22946fda-3f86-40ad-9658-d67ed63d10eb | b7228672-ea61-4971-9ecd-bd3e6afabe3e/4621af5a-c5c5-4cf6-9824-8cd4a0b8be93/audio/f7fe80e134624ee5a259c836de42637d.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| e1ffffb3-74ff-440f-a287-44039cc74172 | b7228672-ea61-4971-9ecd-bd3e6afabe3e/fa5bb9a8-0c53-4cc5-8548-4795f76f06bf/audio/a2e6dc6384e14831885b128165f8326c.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 3aa665ce-545d-4f54-aad8-079701d79b04 | b7228672-ea61-4971-9ecd-bd3e6afabe3e/fa5bb9a8-0c53-4cc5-8548-4795f76f06bf/audio/db0ace0e0e624e5793d52d5ccb952da7.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 03e9bab0-5638-41c1-876a-ffbef75a9959 | b7228672-ea61-4971-9ecd-bd3e6afabe3e/4621af5a-c5c5-4cf6-9824-8cd4a0b8be93/audio/a45562cac5e941aea505b9f59fcc2bf4.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 760bd8e2-b8d6-45cf-9b74-089ca4eb814f | c55dcdd1-858f-4067-8865-fece7cd18fe2/4512488e-3fcd-4a83-b94d-84d05806b43f/audio/f79d3450dcb64d74814e40c12f556be8.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 5f40575c-d780-46da-b818-7e66a0856a3a | c55dcdd1-858f-4067-8865-fece7cd18fe2/ba6cdfaa-6687-4c2e-ae70-4cb723887c33/audio/0aa2b78cf6134f359e00a2ae6a142d0a.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| ee09d40a-5be2-4bd0-98de-7954ef294e46 | be6de80a-36ef-44f6-a92b-c5255b89d24e/d83c46c7-1f5c-45d7-830c-e2cde39d8146/audio/4907a078f5f24e1db3fcbed06523ef21.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 136fdb8d-8923-44ac-aff8-acafd39ba735 | be6de80a-36ef-44f6-a92b-c5255b89d24e/4a23ef8f-5877-4285-b97a-f0ee8a44e9f1/audio/c175333c0ea6485f97085c2c09500e4a.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 64c70433-34d8-4f83-b984-d98be18f5162 | be6de80a-36ef-44f6-a92b-c5255b89d24e/dfd5b358-2d10-48dc-99e6-c649043b2f0e/audio/5576f25e960d4007b4c9cbcd1d0384f5.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 9c217dcb-b8d8-4f75-a2b8-ad93d560fca0 | 2083bc27-316e-4119-8916-5f22727955f9/ddbd0607-d4ce-4ace-b2b3-974434ab299f/audio/b325bfe9b920408f82b9f6e62bb3903a.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 1d8d07a8-f957-4218-8dba-d31e5b78e3e8 | 2083bc27-316e-4119-8916-5f22727955f9/6afb2d27-4ac1-4c40-9967-4f0f62884ef6/audio/e11472e9ce7a4ae3816434477c9eed00.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 7d464b08-39e4-49e0-b8b5-36ca69e90fd3 | 2083bc27-316e-4119-8916-5f22727955f9/d691d3dc-7d08-4f05-a8a9-784497a4fd6c/audio/c4ebf63c1c104e84b4e4660a33239fc6.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| ba44ee81-502d-4bf5-af3c-ea47830b4df9 | 2083bc27-316e-4119-8916-5f22727955f9/6afb2d27-4ac1-4c40-9967-4f0f62884ef6/audio/cdc8a24f852a4ae4bb1a65330f813970.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| ea59c349-4fae-4be4-b30a-8d8ce3825d32 | 2e905247-d58a-4869-8d1e-2bc17fb545ba/9b35626b-edcc-4471-938e-3431cce6b72b/audio/933f874d2b934efa8659ae7d0f47afde.mp3 | public-media | DB reference missing in storage.objects | app.media_objects |
| 15b1f734-7129-46f7-bb57-f8ea7279039c | 2e905247-d58a-4869-8d1e-2bc17fb545ba/9b35626b-edcc-4471-938e-3431cce6b72b/audio/efac5c91089a45218a8f7310105ff299.mp3 | public-media | DB reference missing in storage.objects | app.media_objects |
